AirportFrom,AirportTo,route_flight_cnt_train,route_delay_rate_train
MCI,PHX,152,0.32894736842105265
IAH,CLE,148,0.5202702702702703
PHX,BHM,26,0.9615384615384616
LGB,FLL,23,0.6086956521739131
DEN,BKG,1,1.0
LGA,MKE,180,0.4444444444444444
LGA,PHF,51,0.37254901960784315
MIA,STX,33,0.6666666666666666
SLC,ATL,198,0.5757575757575758
MCO,RIC,53,0.33962264150943394
STL,EWR,120,0.4083333333333333
ORF,MSP,5,0.0
DFW,CID,120,0.26666666666666666
GGG,DFW,25,0.24
SJT,DFW,14,0.2857142857142857
IAD,DTW,180,0.46111111111111114
DTW,ITH,55,0.41818181818181815
BUF,MSP,13,0.38461538461538464
LGA,CMH,137,0.291970802919708
ATL,SWF,24,0.625
CIC,SFO,98,0.3877551020408163
BWI,IND,113,0.5663716814159292
DTW,MSP,204,0.5490196078431373
MAF,LAS,28,0.7142857142857143
SAT,MDW,55,0.5818181818181818
PBI,BWI,69,0.36231884057971014
BWI,SFO,24,0.16666666666666666
SAN,SAT,47,0.723404255319149
DCA,BDL,90,0.35555555555555557
JFK,PIT,130,0.36153846153846153
DAY,MCO,26,0.15384615384615385
DFW,MLI,43,0.3953488372093023
SYR,ATL,98,0.7244897959183674
DTW,BMI,26,0.4230769230769231
ORD,BMI,51,0.39215686274509803
SLC,JFK,125,0.512
LBB,AUS,48,0.4375
FLL,MSY,51,0.5098039215686274
SAN,JFK,101,0.39603960396039606
IAH,BWI,117,0.4700854700854701
DFW,BNA,192,0.3541666666666667
SAN,MDW,96,0.6041666666666666
SFO,CLT,103,0.5242718446601942
BDL,MIA,47,0.3191489361702128
BHM,DFW,67,0.11940298507462686
PSP,PDX,26,0.3076923076923077
CLT,DCA,208,0.34615384615384615
DTW,MIA,112,0.36607142857142855
ORD,RNO,28,0.6428571428571429
PHL,BWI,46,0.2391304347826087
CLT,BDL,112,0.5267857142857143
MIA,EGE,12,0.4166666666666667
PHX,PSP,131,0.20610687022900764
LGA,SAV,20,0.2
MEM,STL,68,0.23529411764705882
SLC,GJT,83,0.3253012048192771
SLC,OMA,70,0.5571428571428572
IAD,MSP,10,0.8
DTW,XNA,26,0.15384615384615385
ATL,BQK,67,0.34328358208955223
ORD,GSP,36,0.5555555555555556
CHS,IAD,49,0.24489795918367346
SBN,ORD,123,0.3902439024390244
RDU,MDW,74,0.6891891891891891
MDW,MSY,35,0.7428571428571429
DEN,BDL,23,0.8260869565217391
JAN,MDW,43,0.627906976744186
DFW,BWI,146,0.363013698630137
BWI,SAN,47,0.851063829787234
CLT,MCO,237,0.5358649789029536
ORD,RSW,77,0.6103896103896104
EWR,AVL,26,0.4230769230769231
IND,JFK,55,0.509090909090909
SLC,CPR,49,0.14285714285714285
DCA,CMH,68,0.17647058823529413
MEM,MGM,49,0.16326530612244897
MKE,ORD,178,0.4887640449438202
OKC,IAD,16,0.3125
DAL,ABQ,183,0.8469945355191257
DEN,DTW,210,0.5857142857142857
STL,PHX,150,0.56
FAI,SEA,47,0.44680851063829785
MDW,RSW,116,0.646551724137931
RSW,EWR,122,0.4426229508196721
CLT,EWR,396,0.4393939393939394
DCA,STL,173,0.28901734104046245
OKC,LAS,45,0.6444444444444445
SFO,MKE,35,0.5714285714285714
EGE,IAH,12,0.5833333333333334
LGA,DFW,346,0.28901734104046245
LAS,FLL,27,0.9629629629629629
PDX,MCI,27,0.7037037037037037
MSP,LAS,164,0.5
CLT,ALB,47,0.2765957446808511
DTW,MHT,51,0.43137254901960786
MFE,IAH,129,0.3178294573643411
TPA,IAH,133,0.2932330827067669
TPA,GPT,10,0.3
MCI,MSP,76,0.3026315789473684
CLE,GRB,46,0.45652173913043476
IAH,GPT,118,0.3050847457627119
SAT,JFK,20,0.15
CLT,GSO,52,0.3076923076923077
ORD,MTJ,16,0.6875
SLC,IDA,103,0.4077669902912621
MSN,ATL,25,0.2
IND,IAD,46,0.5217391304347826
DEN,TYS,24,0.375
DCA,GRR,17,0.4117647058823529
SLC,COD,49,0.42857142857142855
EWR,LAX,199,0.7035175879396985
BUF,FLL,45,0.5333333333333333
MCO,JFK,425,0.4376470588235294
BNA,MDW,151,0.695364238410596
DTW,BNA,124,0.532258064516129
SMF,LGB,50,0.34
EWR,PDX,45,0.6888888888888889
BWI,PWM,51,0.23529411764705882
BNA,ORF,28,0.7857142857142857
PHF,ATL,245,0.45714285714285713
ORD,LGB,28,0.5
RSW,CMH,44,0.3181818181818182
MHT,DTW,42,0.3333333333333333
IND,MSP,119,0.42857142857142855
FLL,MSP,38,0.39473684210526316
CLE,BTV,39,0.48717948717948717
IAH,JAN,118,0.3813559322033898
IAD,CVG,103,0.2815533980582524
SLC,TUL,47,0.44680851063829785
HSV,MEM,72,0.2361111111111111
CVG,RDU,44,0.38636363636363635
MCI,LGA,40,0.175
DEN,LIT,72,0.4722222222222222
SFO,LMT,50,0.56
ELP,PHX,250,0.372
DEN,BWI,175,0.52
EWR,SEA,139,0.60431654676259
GRR,ORD,105,0.3238095238095238
BWI,BHM,69,0.8260869565217391
EWR,CLE,136,0.40441176470588236
CDV,YAK,22,0.36363636363636365
RNO,PHX,171,0.4853801169590643
DEN,RNO,95,0.4421052631578947
SEA,SJC,167,0.3592814371257485
JAN,HOU,67,0.417910447761194
LAX,MSP,146,0.6164383561643836
JAN,MCO,30,0.5333333333333333
OMA,LAS,51,0.5490196078431373
BOS,FLL,131,0.6106870229007634
RNO,DFW,48,0.2916666666666667
LAX,CMH,7,0.2857142857142857
IAH,ELP,142,0.47183098591549294
CLE,TYS,20,0.35
GRR,DFW,51,0.37254901960784315
DTW,SAN,33,0.6060606060606061
MEM,CLE,68,0.2647058823529412
GSP,CVG,28,0.35714285714285715
RDU,ATL,359,0.33147632311977715
SEA,ABQ,46,0.8260869565217391
BOS,ATL,361,0.4487534626038781
JFK,RSW,136,0.4632352941176471
BWI,MIA,68,0.35294117647058826
BQN,EWR,23,0.5217391304347826
RSW,MCO,102,0.23529411764705882
DFW,CLT,337,0.4065281899109792
SFO,DFW,256,0.52734375
BWI,DAY,66,0.22727272727272727
MCO,CLT,239,0.32217573221757323
MSP,TPA,78,0.48717948717948717
ORF,ATL,159,0.3270440251572327
MSP,GRR,95,0.5157894736842106
TUL,EWR,23,0.2608695652173913
DTW,TVC,92,0.5
CMH,MEM,37,0.32432432432432434
SFO,SBP,125,0.536
DEN,BUR,51,0.47058823529411764
DEN,AMA,40,0.825
SMF,ONT,172,0.6802325581395349
ATL,SJU,143,0.3986013986013986
DEN,JAC,66,0.4090909090909091
SAN,BOS,32,0.59375
LAX,MKE,48,0.4166666666666667
SAN,DFW,224,0.3392857142857143
FSD,DEN,91,0.37362637362637363
DFW,SAN,222,0.5045045045045045
ATL,ROC,174,0.3448275862068966
PIT,IAH,116,0.646551724137931
ATL,CVG,188,0.48404255319148937
STT,BOS,13,0.46153846153846156
PWM,CLT,29,0.10344827586206896
ATL,EYW,79,0.46835443037974683
SJC,ATL,19,0.6842105263157895
CLT,DAB,10,0.4
PHX,BFL,73,0.1232876712328767
BRO,DFW,44,0.4090909090909091
PHX,DRO,61,0.14754098360655737
PSC,SFO,49,0.5714285714285714
JFK,PHL,12,0.5833333333333334
GEG,LAS,47,0.574468085106383
TPA,BWI,187,0.47593582887700536
KTN,SEA,69,0.3188405797101449
ANC,JNU,74,0.32432432432432434
DEN,MSP,379,0.5197889182058048
JFK,MSY,76,0.3026315789473684
TUS,SAN,77,0.5194805194805194
ONT,IAH,74,0.2972972972972973
ORD,DTW,346,0.5317919075144508
LIT,STL,43,0.5581395348837209
LGB,SEA,75,0.4533333333333333
TPA,SAT,23,0.782608695652174
ORD,STL,219,0.4657534246575342
ATL,BMI,187,0.5026737967914439
MCO,MDT,25,0.08
FNT,MCO,30,0.13333333333333333
MSP,ORF,4,0.25
IAH,AEX,45,0.26666666666666666
LAS,FAT,115,0.33043478260869563
AEX,DFW,73,0.2054794520547945
DFW,CLL,25,0.44
OKC,MSP,54,0.14814814814814814
PWM,LGA,8,0.25
LGA,RDU,233,0.3562231759656652
DTW,HSV,33,0.21212121212121213
BFL,DEN,24,0.16666666666666666
GTF,DEN,47,0.2978723404255319
SMF,ACV,47,0.44680851063829785
CVG,ATL,200,0.485
BUR,PHX,292,0.5102739726027398
LAS,BOS,42,0.35714285714285715
PVD,FLL,41,0.5365853658536586
DEN,LAS,505,0.5069306930693069
BWI,IAH,110,0.5363636363636364
EWR,DEN,150,0.58
SFO,MCO,27,0.5185185185185185
ATL,PNS,272,0.3602941176470588
RDU,FLL,46,0.6956521739130435
BNA,LGA,98,0.3469387755102041
FAR,MSP,125,0.504
FNT,DTW,77,0.3246753246753247
TUL,MSP,34,0.35294117647058826
ROA,DTW,46,0.2826086956521739
DCA,RDU,164,0.12195121951219512
TUS,SLC,66,0.30303030303030304
SLC,HLN,64,0.34375
SDF,ORD,59,0.2711864406779661
SJU,BWI,44,0.22727272727272727
LBB,LAS,25,0.8
DEN,PDX,292,0.5445205479452054
BOS,STL,51,0.7058823529411765
PHL,LAX,149,0.4563758389261745
PHL,BNA,48,0.6875
MDW,JAN,41,0.7317073170731707
ATL,SFO,187,0.6737967914438503
EWR,AUS,59,0.4406779661016949
MCI,STL,99,0.6767676767676768
MKE,SFO,41,0.4878048780487805
OAK,HOU,46,0.8913043478260869
DTW,IND,182,0.4945054945054945
PBI,DTW,51,0.43137254901960786
EWR,DCA,106,0.5094339622641509
PHX,SBA,127,0.16535433070866143
CAK,MKE,43,0.4883720930232558
LFT,ATL,69,0.2463768115942029
LAX,BFL,44,0.36363636363636365
ORD,SNA,131,0.45038167938931295
LIH,PHX,14,0.07142857142857142
ATL,LAS,269,0.49070631970260226
BOS,PHX,131,0.5038167938931297
PHX,MCO,83,0.5301204819277109
BWI,MKE,124,0.47580645161290325
CLE,PHX,59,0.5932203389830508
ORD,DEN,343,0.5276967930029155
SEA,LAS,274,0.45985401459854014
DTW,SJU,4,0.5
MCO,AUS,55,0.6545454545454545
ATL,DAB,100,0.55
CLT,RIC,130,0.36923076923076925
JAX,DFW,90,0.25555555555555554
IAH,GRK,23,0.4782608695652174
DTW,ORF,99,0.46464646464646464
MSP,CVG,118,0.3220338983050847
SDF,DTW,53,0.22641509433962265
HLN,SLC,61,0.3442622950819672
FAT,SFO,117,0.5470085470085471
LAX,OGG,169,0.4260355029585799
PHX,AUS,188,0.48404255319148937
ATL,MCI,272,0.33088235294117646
ABQ,MCO,29,0.7931034482758621
JFK,BUR,58,0.46551724137931033
OKC,BWI,25,0.64
MSY,TPA,85,0.6705882352941176
STT,JFK,26,0.19230769230769232
DEN,BIL,108,0.32407407407407407
BHM,PHX,28,0.6428571428571429
RSW,DEN,11,0.18181818181818182
IND,FLL,22,0.2727272727272727
CRP,DFW,194,0.2268041237113402
MQT,GRB,22,0.18181818181818182
IND,RDU,39,0.48717948717948717
MEM,HSV,72,0.3194444444444444
BNA,IAD,24,0.375
IAD,TYS,42,0.23809523809523808
BTV,IAD,53,0.3018867924528302
ECP,BNA,51,0.35294117647058826
LAS,PHX,604,0.4768211920529801
MCO,STL,117,0.6752136752136753
SAT,BWI,60,0.6
SEA,GEG,209,0.3923444976076555
LAS,IND,74,0.8108108108108109
MSY,BOS,23,0.391304347826087
MSY,ORD,96,0.2604166666666667
CLT,DEN,114,0.5
JFK,SJU,256,0.484375
MDW,BHM,50,0.76
SLC,BOI,209,0.5789473684210527
LIH,SEA,27,0.14814814814814814
RSW,CLT,136,0.2647058823529412
SLC,MSY,22,0.5
DTW,EWR,229,0.45414847161572053
ELP,IAH,141,0.23404255319148937
ATL,HNL,25,0.48
FLL,CVG,44,0.5909090909090909
MQT,MSP,13,0.23076923076923078
HNL,EWR,26,0.5
ORD,MSP,467,0.4603854389721627
IAD,DEN,237,0.510548523206751
SEA,ANC,366,0.4808743169398907
BNA,CLE,51,0.7254901960784313
IAH,SEA,187,0.839572192513369
BWI,ORD,234,0.3162393162393162
SAT,MCO,30,0.5666666666666667
TPA,FLL,158,0.47468354430379744
MCO,LAX,109,0.44036697247706424
SMF,ATL,43,0.6744186046511628
HNL,SLC,24,0.16666666666666666
ALB,CLT,49,0.3877551020408163
EGE,ATL,8,0.375
TPA,ROC,24,0.25
SDF,ATL,151,0.47019867549668876
PWM,ATL,34,0.38235294117647056
ATL,ECP,186,0.3548387096774194
MIA,MEM,91,0.38461538461538464
CVG,SLC,48,0.625
MCI,EWR,107,0.4766355140186916
MSP,GRB,90,0.4666666666666667
LCH,DFW,54,0.2222222222222222
ATW,MSP,25,0.28
TYS,MEM,79,0.4177215189873418
CVG,GSO,23,0.391304347826087
MEM,JAN,76,0.21052631578947367
IAD,HSV,41,0.3170731707317073
ORD,HPN,58,0.5862068965517241
GRR,DEN,3,0.3333333333333333
DTW,SRQ,12,0.5
KOA,LAX,78,0.21794871794871795
TUS,LAS,111,0.6306306306306306
PHX,MHT,27,0.8148148148148148
MHT,MDW,76,0.35526315789473684
JFK,PDX,44,0.4090909090909091
DFW,TUL,205,0.3951219512195122
RNO,ORD,25,0.48
BOI,PDX,48,0.7708333333333334
PIT,EWR,49,0.3877551020408163
SDF,CLT,78,0.16666666666666666
CVG,TPA,50,0.48
LIT,DFW,244,0.24180327868852458
YUM,PHX,147,0.17006802721088435
MIA,CMH,70,0.2857142857142857
MEM,PNS,69,0.3333333333333333
ATL,DHN,98,0.29591836734693877
SFO,BUR,130,0.5538461538461539
ASE,SFO,24,0.5833333333333334
TPA,JFK,185,0.33513513513513515
PDX,DEN,288,0.4583333333333333
DEN,LGA,166,0.4819277108433735
ORD,ANC,27,0.7407407407407407
PHX,LIH,13,0.7692307692307693
TUL,DEN,166,0.46987951807228917
LAX,SAT,115,0.6695652173913044
EWR,ORD,490,0.39183673469387753
LAS,LGB,81,0.3333333333333333
DTW,IAH,115,0.3391304347826087
SAT,SAN,48,0.5625
MIA,DCA,270,0.3962962962962963
DFW,SAT,367,0.4087193460490463
LGA,MSY,64,0.34375
STX,CLT,1,1.0
DFW,CYS,27,0.2962962962962963
LIT,ORD,170,0.38823529411764707
ATL,MSN,21,0.47619047619047616
ORD,MHT,1,1.0
IAD,OKC,4,0.75
MFR,DEN,25,0.2
CLE,BWI,98,0.673469387755102
DAL,OKC,117,0.7863247863247863
FLL,MCO,124,0.5806451612903226
LGA,PBI,153,0.49019607843137253
ABQ,MAF,26,0.5
LIH,OGG,44,0.20454545454545456
MSN,MSP,69,0.4782608695652174
PHX,TPA,68,0.5735294117647058
MCO,ABE,23,0.43478260869565216
DEN,CVG,55,0.4
IAH,BHM,164,0.4146341463414634
CVG,MCO,68,0.4264705882352941
MSP,RST,55,0.509090909090909
DLH,MSP,81,0.37037037037037035
MEM,TUL,72,0.3194444444444444
TVC,MQT,19,0.42105263157894735
ATL,CSG,94,0.3404255319148936
ORD,PHL,476,0.4117647058823529
GEG,SEA,203,0.39901477832512317
PIT,BWI,62,0.6290322580645161
PDX,JFK,45,0.2222222222222222
IAH,TUL,162,0.30246913580246915
ATL,HPN,189,0.455026455026455
RDU,DEN,25,0.68
TUS,ATL,46,0.32608695652173914
CVG,JFK,56,0.4107142857142857
CLE,GRR,71,0.4084507042253521
MKE,IAH,108,0.35185185185185186
IAH,GSO,55,0.38181818181818183
MOB,DFW,74,0.22972972972972974
RDM,DEN,20,0.25
ATL,MCO,618,0.4935275080906149
MDW,MSP,187,0.732620320855615
HOU,LAS,99,0.7474747474747475
EWR,MSY,62,0.3548387096774194
MKE,DCA,162,0.4506172839506173
SFO,MIA,74,0.5
PSP,SFO,140,0.42142857142857143
STL,OKC,44,0.7727272727272727
IAH,SAN,165,0.7878787878787878
BOS,MCO,236,0.4491525423728814
DEN,CAK,42,0.6190476190476191
MSP,DFW,203,0.43349753694581283
STL,BHM,21,0.9047619047619048
CMH,BNA,48,0.7916666666666666
PDX,ATL,67,0.5671641791044776
EWR,MYR,4,0.25
MIA,TYS,49,0.3877551020408163
DAL,MEM,70,0.21428571428571427
DTW,CID,78,0.3076923076923077
DTW,LSE,23,0.2608695652173913
RIC,DTW,93,0.41935483870967744
SAT,IAH,250,0.34
HNL,DFW,54,0.4444444444444444
TPA,SDF,26,0.6923076923076923
SMF,LAX,281,0.6263345195729537
JAX,TPA,63,0.5714285714285714
LAS,OAK,195,0.7948717948717948
DFW,STL,214,0.308411214953271
ISP,TPA,58,0.5689655172413793
IND,DFW,118,0.3135593220338983
HNL,ANC,20,0.35
CLT,ABE,24,0.2916666666666667
PHL,BUF,22,0.36363636363636365
STL,CLT,96,0.375
DFW,SHV,76,0.32894736842105265
XNA,DTW,35,0.4857142857142857
CRW,DTW,62,0.20967741935483872
JFK,CMH,51,0.37254901960784315
FCA,MSP,12,0.5
BTR,ATL,175,0.35428571428571426
MEM,MFE,72,0.3194444444444444
DTW,TUL,21,0.9047619047619048
GTR,ATL,27,0.18518518518518517
ORD,BHM,72,0.4583333333333333
SFO,MOD,112,0.5357142857142857
MCI,IAD,53,0.2641509433962264
PDX,MDW,19,0.631578947368421
ATL,JFK,162,0.47530864197530864
HOU,LAX,93,0.7849462365591398
LGB,OAK,90,0.5111111111111111
IAH,GUC,10,0.9
MTJ,DEN,92,0.2826086956521739
BWI,OKC,22,0.7727272727272727
PVD,ATL,72,0.3055555555555556
TPA,LGA,91,0.3076923076923077
ERI,DTW,58,0.39655172413793105
ORD,CMI,115,0.4782608695652174
MOD,SFO,116,0.4482758620689655
ORD,CWA,92,0.42391304347826086
JFK,DEN,47,0.5531914893617021
TPA,MCI,40,0.4
ATL,TYS,231,0.3333333333333333
ORD,SMF,50,0.46
PHX,RDU,29,0.7241379310344828
FLL,HPN,74,0.47297297297297297
DFW,XNA,191,0.36649214659685864
DCA,PBI,52,0.5
EWR,LIT,19,0.47368421052631576
VPS,IAH,68,0.4117647058823529
TXK,DFW,63,0.09523809523809523
SLC,LWS,41,0.24390243902439024
CVG,XNA,35,0.17142857142857143
DRO,DEN,177,0.3163841807909605
LAX,YUM,105,0.4857142857142857
TUL,DAL,122,0.4180327868852459
ATL,PHX,270,0.4666666666666667
BOI,LAS,51,0.803921568627451
DEN,LIH,4,0.75
DFW,MIA,251,0.6653386454183267
MIA,ORD,218,0.48623853211009177
EYW,ATL,80,0.4625
CLE,CMH,2,0.0
DAY,EWR,63,0.3333333333333333
LGA,EGE,2,0.0
IAH,HRL,122,0.3360655737704918
MEM,DCA,41,0.2682926829268293
MIA,BHM,52,0.34615384615384615
DTW,EVV,51,0.3137254901960784
MEM,LBB,74,0.3783783783783784
SWF,ATL,22,0.4090909090909091
PDX,LMT,26,0.38461538461538464
IAH,ASE,2,0.5
OKC,DAL,111,0.6036036036036037
ORD,MIA,220,0.7454545454545455
SAN,LAS,266,0.7669172932330827
SAN,IAD,70,0.3142857142857143
LGB,LAS,85,0.5176470588235295
DCA,BOS,635,0.2692913385826772
IAD,ABQ,27,0.37037037037037035
MCO,EYW,24,0.16666666666666666
MCO,MLI,15,0.26666666666666666
DTW,MCO,179,0.5810055865921788
GJT,PHX,67,0.11940298507462686
BGR,DTW,26,0.5384615384615384
PHL,CVG,70,0.2714285714285714
DAY,IAD,64,0.34375
DFW,OGG,26,0.6153846153846154
HOU,OAK,50,0.84
ELP,HOU,74,0.5540540540540541
SFO,DEN,369,0.44986449864498645
OAK,SAN,264,0.7765151515151515
MCO,BNA,103,0.5145631067961165
SJC,SAN,212,0.7358490566037735
IAH,SJU,27,0.8518518518518519
MCO,SAT,24,0.8333333333333334
PBI,LGA,150,0.43333333333333335
EWR,DTW,284,0.49295774647887325
MKE,PIE,15,0.13333333333333333
ALB,MCO,61,0.5245901639344263
CAE,IAH,56,0.2857142857142857
DFW,JAN,185,0.23783783783783785
ICT,ORD,183,0.32786885245901637
ALB,JFK,25,0.08
BMI,ORD,48,0.2916666666666667
LAX,PSP,134,0.4925373134328358
ACV,CEC,25,0.4
CRP,HOU,116,0.4482758620689655
MHT,TPA,43,0.5581395348837209
SFO,SEA,327,0.48623853211009177
MSN,DTW,130,0.3384615384615385
ANC,OGG,10,0.2
GRR,CLE,57,0.3508771929824561
CLE,ROC,59,0.4406779661016949
CVG,GSP,26,0.34615384615384615
FCA,DEN,22,0.13636363636363635
HNL,ORD,46,0.32608695652173914
PHX,LAS,594,0.4612794612794613
CLT,ORD,406,0.4802955665024631
MIA,ATL,404,0.35396039603960394
BWI,ORF,97,0.8041237113402062
LIT,ATL,185,0.31351351351351353
ATL,SAT,251,0.3944223107569721
MSP,PDX,72,0.7222222222222222
MSP,LGA,234,0.47435897435897434
MSP,RDU,15,0.4666666666666667
DAB,CLT,12,0.25
PHX,GJT,69,0.15942028985507245
DTW,ABE,67,0.44776119402985076
DTW,BUF,123,0.4796747967479675
DTW,JAN,19,0.7368421052631579
ORD,ORF,62,0.5483870967741935
DEN,FCA,22,0.45454545454545453
LAX,SMX,99,0.36363636363636365
ASE,IAH,4,0.75
DAL,AUS,257,0.6614785992217899
SEA,PHL,57,0.42105263157894735
MDW,LAX,147,0.8639455782312925
OGG,ITO,24,0.2916666666666667
MDW,IAD,145,0.6344827586206897
SAN,SJC,213,0.7183098591549296
BNA,RDU,101,0.7128712871287128
MIA,MCO,203,0.4876847290640394
SJU,EWR,51,0.5098039215686274
MKE,SRQ,21,0.38095238095238093
CLT,MHT,24,0.3333333333333333
EWR,ORF,52,0.40384615384615385
MSP,CMH,66,0.45454545454545453
CLE,PWM,24,0.3333333333333333
AUS,CLT,72,0.25
JFK,IND,54,0.35185185185185186
MYR,ATL,123,0.2845528455284553
ORD,ATW,101,0.5643564356435643
ALB,IAD,75,0.32
LEX,DCA,19,0.21052631578947367
ORD,PWM,34,0.5588235294117647
AUS,SJC,87,0.39080459770114945
DEN,SAT,103,0.5242718446601942
BUF,TPA,46,0.8043478260869565
DFW,RDU,126,0.4126984126984127
AUS,BOS,25,0.56
FNT,TPA,20,0.35
ATL,BKG,43,0.18604651162790697
JAN,IAH,120,0.325
CVG,DFW,160,0.49375
GUC,DFW,28,0.32142857142857145
EVV,ORD,74,0.2702702702702703
CVG,JAX,42,0.40476190476190477
ATL,ATW,24,0.4583333333333333
IAD,GSO,27,0.18518518518518517
LAX,JFK,671,0.39344262295081966
STL,TUL,49,0.7755102040816326
HNL,PDX,44,0.5681818181818182
PHX,ABQ,332,0.45180722891566266
MKE,BWI,119,0.4117647058823529
BHM,HOU,47,0.6382978723404256
OAK,ONT,181,0.7734806629834254
MSY,BNA,76,0.6447368421052632
TPA,BNA,95,0.6105263157894737
IAD,BDL,93,0.20430107526881722
FLL,DTW,134,0.30597014925373134
IAD,DFW,184,0.30978260869565216
MCO,CMH,94,0.46808510638297873
CLT,FLL,196,0.5255102040816326
ANC,LAX,2,0.5
JFK,SNA,19,0.21052631578947367
EWR,TYS,22,0.5909090909090909
TYS,LGA,24,0.08333333333333333
ORD,GRB,175,0.49142857142857144
ORD,HSV,82,0.47560975609756095
XNA,MEM,69,0.2463768115942029
SHV,ATL,112,0.3125
LIT,DEN,68,0.39705882352941174
DEN,OMA,160,0.45
LAX,SMF,278,0.6223021582733813
ORD,IAD,165,0.3212121212121212
TPA,JAX,66,0.48484848484848486
SEA,SMF,190,0.4631578947368421
SNA,IAH,108,0.7222222222222222
ORD,DSM,208,0.4182692307692308
MCO,ORF,50,0.56
MCO,CLE,74,0.43243243243243246
ONT,DFW,103,0.23300970873786409
EWR,MSP,176,0.5056818181818182
SFO,CVG,25,0.76
MKE,IND,68,0.5441176470588235
DSM,MEM,77,0.4935064935064935
ROC,DTW,119,0.37815126050420167
MSN,LGA,19,0.3157894736842105
GUM,HNL,9,0.5555555555555556
KOA,DEN,3,0.3333333333333333
FAI,BRW,25,0.52
MDW,OMA,123,0.7235772357723578
MDW,HOU,135,0.7851851851851852
IAH,LAS,165,0.6303030303030303
PDX,SJC,129,0.5116279069767442
TUS,ABQ,49,0.5918367346938775
ATL,PHL,478,0.3410041841004184
ORD,CVG,269,0.43866171003717475
ORD,JAC,29,0.6551724137931034
RNO,SJC,52,0.7115384615384616
STL,LGA,94,0.22340425531914893
BDL,DCA,91,0.26373626373626374
ALB,DTW,86,0.4069767441860465
SLC,PSP,52,0.40384615384615385
DEN,MRY,24,0.375
IAD,EWR,7,0.2857142857142857
CLT,ATL,525,0.3352380952380952
MCO,ECP,48,0.7083333333333334
ORD,MCO,233,0.5064377682403434
SNA,SJC,155,0.7161290322580646
PHL,SFO,144,0.4513888888888889
BOI,ORD,48,0.5
HOU,ELP,74,0.7567567567567568
TUL,LAS,29,0.5862068965517241
TPA,ORF,23,0.391304347826087
CLE,BOS,70,0.3142857142857143
CLT,PWM,26,0.2692307692307692
EGE,DFW,44,0.25
EWR,PIT,49,0.42857142857142855
GSO,CLT,54,0.2962962962962963
PIT,MKE,67,0.4626865671641791
SAF,LAX,22,0.36363636363636365
LSE,MSP,77,0.2987012987012987
DTW,LAN,94,0.5638297872340425
DTW,MLI,42,0.47619047619047616
SYR,CVG,30,0.4666666666666667
MLI,ATL,103,0.6407766990291263
LAS,HOU,98,0.7346938775510204
ABQ,DAL,180,0.6666666666666666
TPA,ORD,127,0.2283464566929134
SLC,LGB,204,0.46078431372549017
ONT,OAK,185,0.6918918918918919
SDF,MDW,99,0.46464646464646464
FLL,ABE,13,0.07692307692307693
GRR,RSW,23,0.30434782608695654
CMH,EWR,88,0.38636363636363635
EWR,MHT,94,0.425531914893617
DTW,LIT,29,0.27586206896551724
MEM,AUS,47,0.44680851063829785
ORD,ABE,88,0.5340909090909091
COS,MSP,25,0.84
GRK,ATL,48,0.375
JAX,DTW,65,0.36923076923076925
RAP,ORD,24,0.4166666666666667
CAE,ORD,64,0.453125
SBA,SFO,188,0.5691489361702128
DEN,COD,25,0.36
SLC,TWF,97,0.5154639175257731
BOI,GEG,77,0.5714285714285714
SNA,LAS,199,0.8391959798994975
LAX,OAK,336,0.6369047619047619
LAS,MSY,48,0.875
ORD,ATL,477,0.5744234800838575
IAD,LGB,38,0.6052631578947368
ALB,FLL,29,0.2413793103448276
DFW,MCO,268,0.39925373134328357
ORF,MIA,52,0.5192307692307693
MEM,FSM,69,0.2608695652173913
CPR,SLC,49,0.24489795918367346
DEN,DRO,177,0.423728813559322
MSY,STL,26,0.7692307692307693
PHX,MSP,292,0.4794520547945205
DTW,MDW,278,0.5755395683453237
PHX,SNA,360,0.4722222222222222
MCO,DEN,208,0.3317307692307692
LAS,ALB,23,0.782608695652174
ORF,MCO,51,0.45098039215686275
MCO,SYR,23,0.7391304347826086
SRQ,BOS,31,0.22580645161290322
SMF,SLC,119,0.5798319327731093
EWR,IND,135,0.4740740740740741
PWM,CLE,22,0.2727272727272727
DFW,SAV,49,0.4489795918367347
MEM,OKC,68,0.4117647058823529
DLH,ORD,48,0.4166666666666667
ORD,GEG,1,1.0
DAL,LIT,142,0.7394366197183099
DTW,BWI,203,0.4827586206896552
STL,MCO,101,0.8217821782178217
SEA,MSP,190,0.4052631578947368
BDL,MDW,76,0.631578947368421
ABQ,HOU,69,0.782608695652174
AUS,TPA,23,0.782608695652174
LAS,PHL,144,0.3888888888888889
PHL,SAN,53,0.4528301886792453
JFK,SJC,28,0.39285714285714285
PVD,BWI,201,0.5771144278606966
MDW,BOS,113,0.7168141592920354
MKE,LAS,143,0.5384615384615384
BWI,JAN,27,0.7777777777777778
BUF,LAS,24,0.7916666666666666
TPA,PHL,208,0.35096153846153844
MCI,SAN,41,0.8292682926829268
FLL,SWF,27,0.7407407407407407
BQN,JFK,62,0.3870967741935484
KOA,OAK,12,0.08333333333333333
IAD,IAH,114,0.43859649122807015
FLL,LAX,23,0.08695652173913043
SLC,MCO,42,0.47619047619047616
FLL,ALB,22,0.7727272727272727
MEM,LGA,71,0.4084507042253521
RIC,CLE,60,0.4166666666666667
